name,city,address,phone,website,domain,rating,reviews,category,email,facebook,instagram,linkedin,email2,phone2
Carlo Menta,"Rome, Italy","Via della Lungaretta, 101, 00153 Roma RM, Italy",06 580 3733,https://www.carlomenta.it/,carlomenta.it,4.0,20507.0,restaurant,,https://www.facebook.com/carlomentatrastevere,https://www.instagram.com/carlomenta_trastevere/,,,"048964 38, 06 5803733, 0157934 25"
Osteria 22quattro,"Rome, Italy","Via Vetulonia, 52, 00183 Roma RM, Italy",320 962 5929,https://www.osteria22quattro.it/,osteria22quattro.it,4.5,912.0,restaurant,info@osteria22quattro.it,https://it-it.facebook.com/pages/Osteria-22quattro/299260773433171,,,info@osteria22quattro.it,"0773433171, +39 320 9625929"
Propaganda Italian Cuisine,"Rome, Italy","Via Claudia, 15, 00184 Roma RM, Italy",392 115 3233,https://propagandaitaliancuisine.it/,propagandaitaliancuisine.it,4.2,1365.0,restaurant,marco@famosissimo.it,https://www.facebook.com/profile.php?id=61568084413511,https://www.instagram.com/propagandaitaliancuisine/,https://www.linkedin.com/company/propaganda-italian-cuisine,"marco@famosissimo.it, info@propagandaitaliancuisine.it","08 208 208, 04 119 393 8, 08 42 237 42"
Vattani Elegant Italian Restaurant & Cocktail Bar,"Rome, Italy","Via del Viminale, 2, 00184 Roma RM, Italy",06 481 8229,https://vattani-elegant.shop/,vattani-elegant.shop,4.8,7736.0,restaurant,,,,,,
Risotteria Melotti Roma,"Rome, Italy","V. della Vetrina, 12a/b, 00186 Roma RM, Italy",06 686 8093,http://www.risotteriamelottiroma.it/,risotteriamelottiroma.it,4.5,2954.0,restaurant,contatto@esempio.it,https://www.facebook.com/RisotteriaMelottiRoma/,,,"contatto@esempio.it, roma@risotteriamelotti.com, abc@xyz.com","055 216-216 21, +39 987 6543211, 043 8 8 119"
Osteria Romana,"Rome, Italy","Via Emanuele Filiberto, 137, 00185 Roma RM, Italy",379 174 1206,,,4.2,91.0,restaurant,,,,,,
La Base Ristorante,"Rome, Italy","Via Cavour, 272, 00185 Roma RM, Italy",06 474 0659,http://www.labaseristorante.it/,labaseristorante.it,4.2,9531.0,restaurant,,https://www.facebook.com/pages/LA-BASE/502728369793783,,,,"02728369793783, 0123456789"
Barretta Pesce e Porchetta,"Rome, Italy","V. del Governo Vecchio, 90, 00186 Roma RM, Italy",06 8916 4943,,,4.7,314.0,restaurant,,,,,,
Er Baretto,"Rome, Italy","Via del Boschetto, 132, 00184 Roma RM, Italy",06 482 0444,https://www.artedelcaffe.com/,artedelcaffe.com,4.5,2170.0,restaurant,,,,,,
Gandhi 2 Indian Restaurant,"Rome, Italy","Via Genova, 29/A, 00184 Roma RM, Italy",06 9818 3177,http://www.gandhiroma2.eu/,gandhiroma2.eu,4.7,7659.0,restaurant,info@gandhiroma2.eu,https://www.facebook.com/ristorante.gandhiroma2,,,info@gandhiroma2.eu,"080245-768, 080245-1024, 080245-300"
Ristorante Jole,"Rome, Italy","Piazza Orazio Giustiniani, 2, 00153 Testaccio RM, Italy",06 574 1382,https://sites.google.com/view/ristorantejole/home,sites.google.com,4.6,553.0,restaurant,,,,,,"02402679, 05302073, 04615603"
"Melograno - Gelato, Pizza e Caffè a Fontana di Trevi","Rome, Italy","Piazza di Trevi, 101, 00187 Roma RM, Italy",06 679 2802,,,4.2,840.0,restaurant,,,,,,
Bondhu Lounge | Authentic Bangla Restaurant,"Rome, Italy","Via Ponzio Cominio, 112, 00175 Roma RM, Italy",351 672 0732,https://www.facebook.com/share/1baD8RPwiG/?mibextid=wwXIfr,facebook.com,5.0,7.0,restaurant,,https://www.facebook.com/people/Bondhu-lounge/61586920187460/,,,,"056839232, 075684469438, 089646890"
Pizza House a Roma dal 1975,"Rome, Italy","Viale Giulio Cesare, 233, 00192 Roma RM, Italy",,,,3.9,1205.0,restaurant,,,,,,
Longitude 12 Bistrot & Jardin,"Rome, Italy","Via Federico Cesi, 37, 00193 Roma RM, Italy",06 3684,https://www.marriott.co.uk/hotels/hotel-information/restaurant/details/rommd-le-meridien-visconti-rome/5983328/,marriott.co.uk,4.4,16.0,restaurant,,,,https://www.linkedin.com/in/anthony-capuano-a68390bb/,,"00000307882, 0240923054814, 0204063610"
Ciampini Bistrot,"Rome, Italy","Via della Fontanella di Borghese, 59, 00186 Roma RM, Italy",06 6813 5108,https://ciampini.com/,ciampini.com,4.0,1324.0,restaurant,info@ciampini.com,https://www.facebook.com/barciampini,https://www.instagram.com/ciampini_roma/,,"info@ciampini.com, ciampinisnc@virgilio.it","042305626, 017120576, 013610930"
La Tana,"Rome, Italy","Via dei Galla e Sidama, 65, 00199 Roma RM, Italy",347 698 2056,,,4.5,231.0,restaurant,,,,,,
Lauro Bistrot,"Rome, Italy","V. dei Coronari, 180, 00186 Roma RM, Italy",06 686 5549,https://laurobistrot.shop/,laurobistrot.shop,3.2,999.0,restaurant,laurobistrot.shop@gmail.com,https://www.facebook.com/laurobistrot/photos/,https://www.instagram.com/laurobistrot180/,,laurobistrot.shop@gmail.com,+39 06 686 5549
I Fraschettari,"Rome, Italy","Via Fulvio Maroi, 64, 00166 Roma RM, Italy",06 6601 9188,http://www.fraschettari.it/,fraschettari.it,4.2,2038.0,restaurant,info@fraschettari.it,https://www.facebook.com/Fraschettari/,https://www.instagram.com/fraschettari_/,,info@fraschettari.it,"00543890162595, 0661-204779, 0661-271465"
SAPORI ECCELLENTI,"Rome, Italy","V. Gioberti, 37, 00185 Roma RM, Italy",329 679 5723,,,3.8,245.0,restaurant,,,,,,
Afrish,"Rome, Italy","Via Cavour, 256A, 00184 Roma RM, Italy",351 055 8088,,,4.4,138.0,restaurant,,,,,,
San Tarcisio,"Rome, Italy","Via di S. Tarcisio, 128, 00178 Roma RM, Italy",06 718 8992,https://m.facebook.com/pages/Ristorante-San-Tarcisio/199653016736309,m.facebook.com,4.4,990.0,restaurant,,https://m.facebook.com/data/manifest/?is_workplace_mobile_pwa_dogfooding=0,,,,"0260493519783, 016736309"
Ristorante Cotto - Dharma Group,"Rome, Italy","Via Torino, 124, 00184 Roma RM, Italy",06 8351 1947,https://www.dharmagroup.it/cotto/,dharmagroup.it,4.3,2245.0,restaurant,,https://www.facebook.com/ristorantecotto,https://www.instagram.com/cottoroma,,,"+39 00 00000000, 0181109-134628, +39 06 8351 1947"
AL Barakah Restaurant,"Rome, Italy","Vle Tirreno, 67, 00141 Roma RM, Italy",350 876 4447,https://albarakahrestaurantroma.com/,albarakahrestaurantroma.com,4.3,22.0,restaurant,,,,,,"00000057, 019607843 0, 078431372549"
Café Ginori,"Rome, Italy","Via Sistina, 69, 00187 Roma RM, Italy",06 9779 3710,https://www.roccofortehotels.com/it/hotels-and-resorts/hotel-de-la-ville/ristoranti-bar/cafe-ginori/,roccofortehotels.com,4.7,106.0,restaurant,,,,,,
Sushi e Noodles - Prati,"Rome, Italy","Via Giuseppe Gioachino Belli, 69, 00193 Roma RM, Italy",06 8901 9900,https://www.sushienoodles.it/,sushienoodles.it,4.4,1170.0,restaurant,,,,,"prati@sushienoodles.it, tuscolana@sushienoodles.it, aventino@sushienoodles.it","06 519 3625, 059 256 71, +393338014338"
SETTIMO PANORAMIC FLAVOURS OF ROME,"Rome, Italy","Via Lombardia, 47, 00187 Roma RM, Italy",06 4780 22998,https://restaurantsandbars.accor.com/fr/restaurant/1312_R001?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,restaurantsandbars.accor.com,4.4,360.0,restaurant,,,,,,
Opera,"Rome, Italy","Via Paola, 48, 00186 Roma RM, Italy",06 6821 0898,,,3.4,536.0,restaurant,,,,,,
Oysteria,"Rome, Italy","Via Mattia Battistini, 166/b, 00167 Roma RM, Italy",06 627 7371,http://www.oysteria.it/,oysteria.it,4.4,1004.0,restaurant,info@oysteria.it,https://www.facebook.com/oysteriaroma/,https://www.instagram.com/explore/locations/203943503417421/oysteria/,,info@oysteria.it,"049-178796, 0610-684306, 050-163952"
ASIAN SPICY BBQ Restaurant,"Rome, Italy","Via Flavio Stilicone, 127, 00175 Roma RM, Italy",06 9356 9808,,,4.9,21.0,restaurant,,,,,,
Salone Eva at Palm Court,"Rome, Italy","Piazza della Trinità dei Monti, 6, 00187 Roma RM, Italy",06 699340,https://www.hotelhasslerroma.com/it/ristoranti-bar/salone-eva,hotelhasslerroma.com,4.5,118.0,restaurant,bar@hotelhassler.it,https://www.facebook.com/hotelhasslerroma,https://www.instagram.com/explore/search/keyword/?q=%23onlyatthehassler,https://www.linkedin.com/company/hotel-hassler,"bar@hotelhassler.it, fboffice@hotelhassler.it, booking@hotelhassler.it","0431499 17, 04170218443, 00590463"
Bar Gambero,"Rome, Italy","Via del Gambero, 40, 00187 Roma RM, Italy",,,,4.3,717.0,restaurant,,,,,,
Kerala Restaurant - Indian(south) Cuisine,"Rome, Italy","V. La Spezia, 10/B, 00182 Roma RM, Italy",351 207 8332,,,4.4,851.0,restaurant,,,,,,
Ceylon Chef Restaurant,"Rome, Italy","Via Bixio, 11-13, 00185 Roma RM, Italy",388 621 1137,,,4.7,155.0,restaurant,,,,,,
Uliveto Restaurant & Terrace,"Rome, Italy","Via Alberto Cadlolo, 101, 00136 Roma RM, Italy",06 3509 2145,https://romecavalieri.com/uliveto/,romecavalieri.com,4.4,175.0,restaurant,ROMHI.FB@waldorfastoria.com,https://www.facebook.com/Rome-Cavalieri-Waldorf-Astoria-Hotels-Resorts-155090884528763,https://www.instagram.com/romecavalieri/,,"ROMHI.Concierge@waldorfastoria.com, ROMHI.FB@waldorfastoria.com, RomeCavalieri.Reservations@waldorfastoria.com","0980471 3, 0074579392, +39 06 3509 2040"
3Quarti Nord,"Rome, Italy","Via del Casale della Crescenza, 25, 00189 Roma RM, Italy",06 333 6241,http://www.3quarti.it/,3quarti.it,4.3,603.0,restaurant,,,,,,
Alla Rampa dei Gracchi,"Rome, Italy","Via dei Gracchi, 90, 00192 Roma RM, Italy",06 322 1615,http://www.allarampadeigracchi.com/,allarampadeigracchi.com,4.5,1742.0,restaurant,info@allarampadeigracchi.com,https://www.facebook.com/allarampadeigracchi,https://www.instagram.com/allarampadeigracchi,,"info@allarampa.com, info@allarampadeigracchi.com, meetatrome@gmail.com","+39063221615, 00-200 200, 00 846 817 84"
ZAM ZAM Restaurant,"Rome, Italy","Via Casilina, 493, 00177 Roma RM, Italy",350 814 7823,,,4.5,54.0,restaurant,,,,,,
Timoty Drinks & Kitchen,"Rome, Italy","Via Torino, 46, 00184 Roma RM, Italy",06 9686 0080,https://www.timotyristorante.it/,timotyristorante.it,4.5,1167.0,restaurant,info@timotyristorante.it,https://www.facebook.com/profile.php?id=61558184167164&#038;locale=it_IT,https://www.instagram.com/timoty_restaurant/,,info@timotyristorante.it,"07 561 418, 08 42 237 42, 04 846 783 84"
BENGAL ASIAN RESTAURANT,"Rome, Italy","Piazza Attilio Pecile, 52, 00154 Roma RM, Italy",350 841 3321,,,5.0,28.0,restaurant,,,,,,
Scampo,"Rome, Italy","Campo de' Fiori, 28-29, 00186 Roma RM, Italy",06 681661,https://m.facebook.com/Scampo-204183646789984/,m.facebook.com,3.7,542.0,restaurant,,https://m.facebook.com/data/manifest/?is_workplace_mobile_pwa_dogfooding=0,,,,"0260493519783, 04183646789984"
Delizie D'oriente,"Rome, Italy","Largo Luigi Antonelli, 15, 00145 Roma RM, Italy",389 921 5251,https://www.instagram.com/delizie.doriente?igsh=MTk4Z3RudTF0eHFiYQ==,instagram.com,4.9,386.0,restaurant,,,,,,
Mercure Roma Centro Termini Ristorante,"Rome, Italy","Via Agostino Depretis, 00184 Roma RM, Italy",06 8716 5320,,,4.6,32.0,restaurant,,,,,,
Barnum Roma,"Rome, Italy","Via del Pellegrino, 87, 00186 Roma RM, Italy",06 6476 0483,https://www.barnumroma.com/,barnumroma.com,4.6,4389.0,cafe,info@barnumroma.com,https://www.facebook.com/barnumroma/,https://www.instagram.com/barnumroma/,,info@barnumroma.com,"06 64760483, 09 2023 12"
La Licata,"Rome, Italy","Via dei Serpenti, 165, 00184 Roma RM, Italy",06 488 4746,https://www.barlalicata.it/,barlalicata.it,4.5,5210.0,cafe,info@barlalicata.it,https://www.facebook.com/BarLaLicata/,https://www.instagram.com/barlalicata/,,"la.licata@tiscali.it, info@barlalicata.it","+39064884746, 05576500580, 000000000000005"
RoYaL Art Cafè,"Rome, Italy","P.za del Colosseo, 1, 00184 Roma RM, Italy",06 8880 5383,http://royalartcafe.it/,royalartcafe.it,4.7,17261.0,cafe,web@webdimension.it,https://www.facebook.com/pg/royal.artcafe.roma/photos/?ref=page_internal,http://instagram.com/royalartcafe,,web@webdimension.it,"0688805383, 081615441467, +393451013887"
Jazz Cafè,"Rome, Italy","Via Giuseppe Zanardelli, 12, 00186 Roma RM, Italy",06 7978 9742,https://www.jazzcaferoma.com/,jazzcaferoma.com,4.3,2251.0,cafe,,https://www.facebook.com/jazzcaferoma,https://www.instagram.com/jazzcaferoma/,,"eventi@jazzcaferoma.com, reservation@jazzcaferoma.com","0679789742, 0520298485, 0520389632"
Cafe Risorgimento,"Rome, Italy","Piazza del Risorgimento, 63, 00192 Roma RM, Italy",06 6880 2932,http://www.caferisorgimento.it/,caferisorgimento.it,4.4,3484.0,cafe,,,,,,
Roscioli Caffè Pasticceria,"Rome, Italy","Piazza Benedetto Cairoli, 16, 00186 Roma RM, Italy",06 8916 5330,http://www.rosciolicaffe.com/,rosciolicaffe.com,3.9,1761.0,cafe,info@rosciolicaffe.com,https://www.facebook.com/Rosciolicaffe/,https://www.instagram.com/rosciolicaffe/,,info@rosciolicaffe.com,"0261164-16, 06 89165330"
Caffè Trastevere,"Rome, Italy","Viale di Trastevere, 50, 00153 Roma RM, Italy",06 581 0460,,,4.3,1114.0,cafe,,,,,,
Materia Cafe,"Rome, Italy","Via Andrea Provana, 7, 00185 Roma RM, Italy",06 5630 3156,http://materiacafe.com/,materiacafe.com,4.4,1253.0,cafe,,https://www.facebook.com/artbees/,,,,06 5630 3156
Reset-café,"Rome, Italy","Via Casilina, 89 / 91, 00182 Roma RM, Italy",06 702 2855,https://reset-cafe.it/,reset-cafe.it,4.6,256.0,cafe,,,,,sacchi.augusto@libero.it,"072352346, 067653948286510, 0404060704"
Molly’s Garden Cafe’,"Rome, Italy","V. del Governo Vecchio, 46, 00186 Roma RM, Italy",06 5297 8936,,,4.5,1557.0,cafe,,,,,,
Florian's Cafe,"Rome, Italy","Piazza dell'Indipendenza, 9, 00185 Roma RM, Italy",06 445 1737,http://www.florianscafe.it/,florianscafe.it,4.0,1570.0,cafe,florians@florianscafe.com,https://www.facebook.com/floriansroma,https://www.instagram.com/florians_roma/,,florians@florianscafe.com,"06024541002, 06 44 51 737, 000000000000000"
Grains - cafè bistrot,"Rome, Italy","Via Rieti, 7, 00198 Roma RM, Italy",06 4555 2469,,,4.9,171.0,cafe,,,,,,
D’Angelo Caffè & Gastronomia,"Rome, Italy","Via Venti Settembre, 25, 00185 Roma RM, Italy",06 4201 0325,,,4.7,2875.0,cafe,,,,,,
Tribeca,"Rome, Italy","Via Messina, 29, 00198 Roma RM, Italy",06 4425 0923,,,4.4,1038.0,cafe,,,,,,
Brancaccio Cafè,"Rome, Italy","Via Merulana, 245, 00185 Roma RM, Italy",06 487 4199,,,4.1,1106.0,cafe,,,,,,
Cafe Lungara 1940,"Rome, Italy","Via della Lungara, 14/15, 00165 Roma RM, Italy",06 687 5626,https://lungara1940.com/,lungara1940.com,4.2,746.0,cafe,lungara1940@gmail.com,https://www.facebook.com/lungara1940/,https://www.instagram.com/lungara1940/,,lungara1940@gmail.com,"097915220079819, 009562655583, 09488025753523"
Gatsby Cafè,"Rome, Italy","P.za Vittorio Emanuele II, 106, 00185 Roma RM, Italy",06 6933 9626,https://gatsbycafe.it/,gatsbycafe.it,4.3,2503.0,cafe,,https://www.facebook.com/gatsbycafe/?locale=it_IT,https://www.instagram.com/gatsbycafe/,,segreteria.gatsby@gmail.com,"00000057, 005339060, 08 42 237 42"
Vitti Roma dal 1898,"Rome, Italy","Piazza di S. Lorenzo in Lucina, 33, 00186 Roma RM, Italy",06 687 6304,https://vitti.it/,vitti.it,3.7,2198.0,cafe,,,,,,
Verso Italian Coffee Home,"Rome, Italy","Viale della Piramide Cestia, 35, 00153 Roma RM, Italy",351 822 4029,,,4.8,359.0,cafe,,,,,,
Café Howard,"Rome, Italy","Piazza Menenio Agrippa, 8, 00141 Roma RM, Italy",06 8689 8838,,,4.2,111.0,cafe,,,,,,
Oppio Caffè,"Rome, Italy","Via delle Terme di Tito, 72, 00184 Roma RM, Italy",06 474 5262,http://www.oppiocaffe.it/,oppiocaffe.it,3.1,4250.0,cafe,,,,,info@oppiocaffe.it,"+39 06 4745262, 0216023-1, 026-01-14 20"
CASALI Cucina & Caffè,"Rome, Italy","Via Anzio, 18/B, 00178 Roma RM, Italy",06 6066 1548,,,4.6,112.0,cafe,,,,,,
Caffè Antica Roma,"Rome, Italy","Via Marco Aurelio, 28, 00184 Roma RM, Italy",06 709 6418,,,4.8,1939.0,cafe,,,,,,
San Cosimato Caffè,"Rome, Italy","Piazza di S. Cosimato, 62, 00153 Roma RM, Italy",,,,4.2,32.0,cafe,,,,,,
Antico caffè del teatro di Marcello,"Rome, Italy","Via del Teatro di Marcello, 42, 00186 Roma RM, Italy",06 678 5451,https://m.facebook.com/pages/Antico-Caff%C3%A9-Del-Teatro-Marcello/145877618856832,m.facebook.com,3.3,1438.0,cafe,,https://m.facebook.com/data/manifest/?is_workplace_mobile_pwa_dogfooding=0,,,,0260493519783
Faro - Caffè Specialty,"Rome, Italy","Via Piave, 55, 00187 Roma RM, Italy",06 4281 5714,https://www.farorome.com/,farorome.com,4.5,3505.0,cafe,,https://it-it.facebook.com/farorome/,https://www.instagram.com/farorome/,,,"06-42815714, +39 06-42815714, 08150815171"
Petit cafe' Roma,"Rome, Italy","Viale delle Medaglie d'Oro, 433, 00136 Roma RM, Italy",349 367 5279,,,4.4,129.0,cafe,,,,,,
Cafe Washington,"Rome, Italy","Via del Viminale, 4, 00184 Roma RM, Italy",06 474 4601,http://www.caffewashington.com/,caffewashington.com,3.9,2465.0,cafe,GRUPPOWASHINGTON@LEGALMAIL.IT,https://facebook.com/caffewashington,https://instagram.com/caffe_washington,,GRUPPOWASHINGTON@LEGALMAIL.IT,"0490-0491, 0160-0161, 08393172"
Grif Café 2,"Rome, Italy","Via dei Gracchi, 203, 00192 Roma RM, Italy",06 3600 6930,,,4.1,133.0,cafe,,,,,,
Le Foodie Café Bistrot,"Rome, Italy","Piazzale Appio, 9, 00185 Roma RM, Italy",06 6936 8221,https://www.lefoodie.it/,lefoodie.it,3.9,2898.0,cafe,info@lefoodie.it,https://www.facebook.com/p/Le-Foodie-Caf%25C3%25A9-Bistrot-61575756361663/,https://www.instagram.com/lefoodiebistrot/,,info@lefoodie.it,"0669368221, 025-10-12 12, 025080302"
Paris Bar,"Rome, Italy","Corso Trieste, 132/A, 00198 Roma RM, Italy",06 540 5479,,,4.1,123.0,cafe,,,,,,
Centoquaranta Bistrot & Caffetteria,"Rome, Italy","Via Anastasio II, 140, 00165 Roma RM, Italy",06 4577 6734,https://centoquaranta.carrd.co/,centoquaranta.carrd.co,5.0,76.0,cafe,,,https://www.instagram.com/barcentoquaranta/,,,06 4577 6734
Caffè Gotico,"Rome, Italy","Via della Stelletta, 7a, 00186 Roma RM, Italy",347 332 0404,,,4.7,502.0,cafe,,,,,,
Why Not,"Rome, Italy","Piazza Regina Margherita, 10-11, 00198 Roma RM, Italy",06 8612 9219,https://www.why-not-cafe.com/,why-not-cafe.com,4.4,324.0,cafe,,,,,,"0123456789, 050177169783"
Hola! Café,"Rome, Italy","Viale di Valle Aurelia, 30, 00167 Roma RM, Italy",06 9483 4014,http://holacafe.it/,holacafe.it,4.3,121.0,cafe,orders@pizza.con,https://www.facebook.com/Hola-Caf-101258228530846,https://www.instagram.com/p/CsmLsaqo8uU/,,"info@holacafe.it, orders@pizza.con","016218674529, 007314661874, 047580639"
Homebaked Monteverde,"Rome, Italy","Via Fratelli Bonnet, 21, 00152 Roma RM, Italy",06 9944 8753,http://www.homebaked.it/,homebaked.it,4.5,744.0,cafe,,,,,,
Al Biscione Cafė 1965 - CIBO e VINI,"Rome, Italy","P.zza del Biscione, 82, 00186 Roma RM, Italy",06 6880 6682,,,4.5,1468.0,cafe,,,,,,
MERA Bistrot & Cafe',"Rome, Italy","Via Merulana, 107, 00185 Roma RM, Italy",375 910 0947,https://merabistrot.sumupstore.com/,merabistrot.sumupstore.com,4.4,109.0,cafe,,,,,,
Casina del Lago,"Rome, Italy","Viale dell'Aranciera, 2, 00197 Roma RM, Italy",06 6401 9942,http://www.foodserviceroma.it/,foodserviceroma.it,2.9,1302.0,cafe,foodservicesrl2008@libero.it,,,,"foodservicesrl2008@libero.it, food-service@pec.it","00006-300, 09-111505, 00005-300"
Caffe Niagara,"Rome, Italy","Via Solferino, 38, 00185 Roma RM, Italy",,,,2.2,1150.0,cafe,,,,,,
Fusion Café,"Rome, Italy","Via Emanuele Filiberto, 194, 00185 Roma RM, Italy",06 9760 0373,https://www.facebook.com/pages/Fusion-Caf%C3%A8/547940621945217,facebook.com,3.3,636.0,cafe,,https://www.facebook.com/login.php,,,,"02047449186, 056839232, 075684469438"
Caffè 67,"Rome, Italy","Via della Luce, 67, 00153 Roma RM, Italy",,,,4.9,602.0,cafe,,,,,,
Mox Caffè,"Rome, Italy","Piazzale Gregorio VII, 23/27, 00165 Roma RM, Italy",06 3967 4499,,,4.3,455.0,cafe,,,,,,
la buvette,"Rome, Italy","Via Vittoria, 44/47, 00187 Roma RM, Italy",06 679 0383,http://www.dbs-restaurants.com/,dbs-restaurants.com,4.1,1537.0,cafe,,,https://www.instagram.com/labuvetteroma,,,"06 5814317, 06 5803809, 08514918"
Michellen Lounge Bar and Coffee Bistro,"Rome, Italy","Via del Mascherino, 52, 00193 Roma RM, Italy",,,,4.0,287.0,cafe,,,,,,
Marziali 1922 - Via Po,"Rome, Italy","V. Po, 80, 00198 Roma RM, Italy",06 4368 3859,http://www.marziali1922.com/,marziali1922.com,4.4,862.0,cafe,,https://www.facebook.com/Marziali1922,https://www.instagram.com/marziali1922/,,,"01-382-4311, 09935427, 01-461-9671"
Cafè du Parc,"Rome, Italy","Piazza di Porta S. Paolo, 00153 Roma RM, Italy",06 574 3363,,,4.4,319.0,cafe,,,,,,
